Linux 6.6.87.2-microsoft-standard-WSL2 (SkyBook) 	10/07/25 	_x86_64_	(16 CPU)

11:00:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:24       0    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   98.02
11:00:24       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:24       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:24       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:24       4    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:24       5    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:24       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:24       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:24       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:24       9    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
11:00:24      10    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:24      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:24      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:24      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:24      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:24      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:00:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:25     all    0.25    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.62
11:00:25       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:25       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:25       2    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:00:25       3    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:00:25       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:25       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:25       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:25       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:25       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
